Date;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
2018-4-19;0.0;0.0;0.0;0.0;0.3825;6.6969;15.2286;23.7798;28.539;20.814;24.1665;19.7052;11.6202;12.0516;7.9893;9.908999999999999;5.6913;0.5718;0.0;0.0;0.0;0.0;0.0;0.0
2018-4-20;0.0;0.0;0.0;0.0;0.2724;4.248;10.0494;6.5664;11.6736;20.7432;21.5985;29.1666;32.6748;25.0101;23.0055;14.7807;7.2564;0.8244;0.0;0.0;0.0;0.0;0.0;0.0
2018-4-21;0.0;0.0;0.0;0.0;0.8619;7.4535;15.9498;24.3021;30.7332;35.5092;37.7856;38.2056;36.2577;32.085;25.8012;17.5092;8.9436;0.858;0.0;0.0;0.0;0.0;0.0;0.0
2018-4-22;0.0;0.0;0.0;0.0;0.9075;7.5360000000000005;16.1136;24.5307;31.2642;35.5758;35.3823;34.7619;29.9631;29.427;21.9075;9.8568;6.4902;0.9348;0.0;0.0;0.0;0.0;0.0;0.0
2018-4-23;0.0;0.0;0.0;0.0;0.0312;3.5865;6.0756;21.2076;23.8791;17.6493;20.9223;22.7883;13.6797;7.5894;10.9221;7.9197;2.9556;0.3399;0.0;0.0;0.0;0.0;0.0;0.0
2018-4-24;0.0;0.0;0.0;0.0;0.0;0.597;2.4696;4.5534;6.5202;6.4434;10.119;11.0574;8.9964;26.6802;8.5056;10.2255;5.0463;1.4505;0.0;0.0;0.0;0.0;0.0;0.0
2018-4-25;0.0;0.0;0.0;0.0;0.0;1.2209999999999999;5.6637;13.365;18.0645;27.0492;26.9964;15.6132;12.0732;10.4961;13.7835;7.9179;7.4859;1.8174;0.0;0.0;0.0;0.0;0.0;0.0
2018-4-26;0.0;0.0;0.0;0.0;2.2254;8.9943;17.8638;26.5758;31.0629;17.7996;24.6816;29.7321;25.6224;18.4386;3.1962;9.7011;9.5595;3.2046;0.0;0.0;0.0;0.0;0.0;0.0
2018-4-27;0.0;0.0;0.0;0.0;0.0;0.3966;1.4364;2.7942;5.0334;5.1288;10.7088;6.3162;8.0736;3.7044;5.0028;4.5498;2.7624;0.6798;0.0;0.0;0.0;0.0;0.0;0.0
2018-4-28;0.0;0.0;0.0;0.0;2.7153;9.3384;17.2941;24.2382;29.8668;26.8053;30.7602;33.2298;26.3562;23.4513;13.0638;5.6064;2.7528;1.3101;0.0;0.0;0.0;0.0;0.0;0.0
2018-4-29;0.0;0.0;0.0;0.0;2.6817;9.5118;18.3141;26.2527;32.1009;33.5124;32.2866;32.4348;22.7271;28.4511;26.3946;18.7395;10.095;2.7825;0.0;0.0;0.0;0.0;0.0;0.0
2018-4-30;0.0;0.0;0.0;0.0;2.7822;9.3882;17.8518;25.7181;31.3623;34.4445;34.5177;34.6104;32.2614;20.3355;24.0327;15.107999999999999;9.3111;1.8018;0.0;0.0;0.0;0.0;0.0;0.0
2018-5-1;0.0;0.0;0.0;0.0;1.8534;7.1058;14.6289;25.2441;28.8207;32.6634;26.3847;15.0681;18.8538;15.0825;8.82;9.396;5.9208;0.9321;0.0;0.0;0.0;0.0;0.0;0.0
